id,crop,disease,causal_agent,symptoms_identification,organic_control,chemical_control
744,Colocasia,Late Blight,Phytophthora infestans,Water-soaked lesions on leaves and fruits; white sporulation under humid conditions. Often noticed in dense canopies and late season.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Follow local agricultural extension chemical recommendations with PPE.
745,Colocasia,Early Blight,Alternaria solani,Concentric ring lesions on leaves; fruit spots. Often noticed in dense canopies and late season.,Introduce beneficial microbes; use cultural practices and timely pruning.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
746,Colocasia,Bacterial Spot,Xanthomonas/ Pseudomonas,Water-soaked lesions with yellow halos on leaves and fruits. Symptoms worsen in humid conditions.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
747,Colocasia,Powdery Mildew,Oidium/Erysiphe,White powder on leaves reducing vigor. Occurs frequently under stress or high nitrogen levels.,Introduce beneficial microbes; use cultural practices and timely pruning.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
748,Colocasia,Downy Mildew,Peronospora spp.,Yellow patches and downy growth on leaf undersides. Occurs frequently under stress or high nitrogen levels.,Introduce beneficial microbes; use cultural practices and timely pruning.,Follow local agricultural extension chemical recommendations with PPE.
242,Coriander,Fusarium Wilt,Fusarium spp.,"Wilting, yellowing and vascular discoloration in roots/stems. Often noticed in dense canopies and late season.",Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
243,Coriander,Phytophthora Rot,Phytophthora spp.,Stem/root rots causing collapse. Often noticed in dense canopies and late season.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Follow local agricultural extension chemical recommendations with PPE.
244,Coriander,Leaf Spot,Alternaria/Cercospora,Brown/black spots leading to defoliation. Often noticed in dense canopies and late season.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
466,Cotton,Bacterial Blight,Xanthomonas,Angular water-soaked spots on leaves and bolls. Common after heavy rainfall or poor drainage.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
467,Cotton,Verticillium Wilt,Verticillium dahliae,"Yellowing, wilting and vascular browning. Occurs frequently under stress or high nitrogen levels.",Introduce beneficial microbes; use cultural practices and timely pruning.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
468,Cotton,Boll Rot,Various fungi,Rotting of bolls affecting lint quality. Often noticed in dense canopies and late season.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
469,Cotton,Leaf Curl Virus,Begomovirus,"Leaf curling, thickened veins, stunting. Common after heavy rainfall or poor drainage.",Introduce beneficial microbes; use cultural practices and timely pruning.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
161,Cowpea,Late Blight,Phytophthora infestans,Water-soaked lesions on leaves and fruits; white sporulation under humid conditions. Common after heavy rainfall or poor drainage.,Introduce beneficial microbes; use cultural practices and timely pruning.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
162,Cowpea,Early Blight,Alternaria solani,Concentric ring lesions on leaves; fruit spots. Common after heavy rainfall or poor drainage.,Introduce beneficial microbes; use cultural practices and timely pruning.,Follow local agricultural extension chemical recommendations with PPE.
163,Cowpea,Bacterial Spot,Xanthomonas/ Pseudomonas,Water-soaked lesions with yellow halos on leaves and fruits. Symptoms worsen in humid conditions.,Introduce beneficial microbes; use cultural practices and timely pruning.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
164,Cowpea,Powdery Mildew,Oidium/Erysiphe,White powder on leaves reducing vigor. Often noticed in dense canopies and late season.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
165,Cowpea,Downy Mildew,Peronospora spp.,Yellow patches and downy growth on leaf undersides. Symptoms worsen in humid conditions.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
429,Cucumber,Late Blight,Phytophthora infestans,Water-soaked lesions on leaves and fruits; white sporulation under humid conditions. Often noticed in dense canopies and late season.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
430,Cucumber,Early Blight,Alternaria solani,Concentric ring lesions on leaves; fruit spots. Occurs frequently under stress or high nitrogen levels.,Introduce beneficial microbes; use cultural practices and timely pruning.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
431,Cucumber,Bacterial Spot,Xanthomonas/ Pseudomonas,Water-soaked lesions with yellow halos on leaves and fruits. Symptoms worsen in humid conditions.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Follow local agricultural extension chemical recommendations with PPE.
432,Cucumber,Powdery Mildew,Oidium/Erysiphe,White powder on leaves reducing vigor. Common after heavy rainfall or poor drainage.,Introduce beneficial microbes; use cultural practices and timely pruning.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
433,Cucumber,Downy Mildew,Peronospora spp.,Yellow patches and downy growth on leaf undersides. Symptoms worsen in humid conditions.,Introduce beneficial microbes; use cultural practices and timely pruning.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
925,Cucumber (Greenhouse),Late Blight,Phytophthora infestans,Water-soaked lesions on leaves and fruits; white sporulation under humid conditions. Symptoms worsen in humid conditions.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
926,Cucumber (Greenhouse),Early Blight,Alternaria solani,Concentric ring lesions on leaves; fruit spots. Common after heavy rainfall or poor drainage.,Introduce beneficial microbes; use cultural practices and timely pruning.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
927,Cucumber (Greenhouse),Bacterial Spot,Xanthomonas/ Pseudomonas,Water-soaked lesions with yellow halos on leaves and fruits. Often noticed in dense canopies and late season.,Introduce beneficial microbes; use cultural practices and timely pruning.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
928,Cucumber (Greenhouse),Powdery Mildew,Oidium/Erysiphe,White powder on leaves reducing vigor. Often noticed in dense canopies and late season.,Introduce beneficial microbes; use cultural practices and timely pruning.,Follow local agricultural extension chemical recommendations with PPE.
929,Cucumber (Greenhouse),Downy Mildew,Peronospora spp.,Yellow patches and downy growth on leaf undersides. Often noticed in dense canopies and late season.,Introduce beneficial microbes; use cultural practices and timely pruning.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
254,Cumin,Fusarium Wilt,Fusarium spp.,"Wilting, yellowing and vascular discoloration in roots/stems. Common after heavy rainfall or poor drainage.",Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
255,Cumin,Phytophthora Rot,Phytophthora spp.,Stem/root rots causing collapse. Occurs frequently under stress or high nitrogen levels.,Introduce beneficial microbes; use cultural practices and timely pruning.,Follow local agricultural extension chemical recommendations with PPE.
256,Cumin,Leaf Spot,Alternaria/Cercospora,Brown/black spots leading to defoliation. Symptoms worsen in humid conditions.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
266,Fenugreek,Late Blight,Phytophthora infestans,Water-soaked lesions on leaves and fruits; white sporulation under humid conditions. Symptoms worsen in humid conditions.,Introduce beneficial microbes; use cultural practices and timely pruning.,Follow local agricultural extension chemical recommendations with PPE.
267,Fenugreek,Early Blight,Alternaria solani,Concentric ring lesions on leaves; fruit spots. Occurs frequently under stress or high nitrogen levels.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
268,Fenugreek,Bacterial Spot,Xanthomonas/ Pseudomonas,Water-soaked lesions with yellow halos on leaves and fruits. Common after heavy rainfall or poor drainage.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
269,Fenugreek,Powdery Mildew,Oidium/Erysiphe,White powder on leaves reducing vigor. Common after heavy rainfall or poor drainage.,Introduce beneficial microbes; use cultural practices and timely pruning.,Follow local agricultural extension chemical recommendations with PPE.
270,Fenugreek,Downy Mildew,Peronospora spp.,Yellow patches and downy growth on leaf undersides. Common after heavy rainfall or poor drainage.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Follow local agricultural extension chemical recommendations with PPE.
58,Finger Millet,Downy Mildew,Peronosclerospora spp.,Chlorotic streaks and downy growth underneath; stunting and poor yield. Common after heavy rainfall or poor drainage.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
59,Finger Millet,Turcicum Leaf Blight,Exserohilum turcicum,Elongated lesions; leaves may die back. Often noticed in dense canopies and late season.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
60,Finger Millet,Stalk Rot,Fusarium/Colletotrichum,Rotten stalks causing lodging and yield loss. Common after heavy rainfall or poor drainage.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
61,Finger Millet,Ear Rot,Fusarium/Aspergillus,"Moldy ears, mycotoxin risk for storage. Common after heavy rainfall or poor drainage.",Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
62,Finger Millet,Maize Mosaic,Potyvirus,"Mosaic symptoms, dwarfing and reduced kernels. Common after heavy rainfall or poor drainage.",Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
67,Foxtail Millet,Downy Mildew,Peronosclerospora spp.,Chlorotic streaks and downy growth underneath; stunting and poor yield. Symptoms worsen in humid conditions.,Introduce beneficial microbes; use cultural practices and timely pruning.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
68,Foxtail Millet,Turcicum Leaf Blight,Exserohilum turcicum,Elongated lesions; leaves may die back. Common after heavy rainfall or poor drainage.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
69,Foxtail Millet,Stalk Rot,Fusarium/Colletotrichum,Rotten stalks causing lodging and yield loss. Often noticed in dense canopies and late season.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
70,Foxtail Millet,Ear Rot,Fusarium/Aspergillus,"Moldy ears, mycotoxin risk for storage. Common after heavy rainfall or poor drainage.",Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Follow local agricultural extension chemical recommendations with PPE.
71,Foxtail Millet,Maize Mosaic,Potyvirus,"Mosaic symptoms, dwarfing and reduced kernels. Often noticed in dense canopies and late season.",Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
305,Garlic,Late Blight,Phytophthora infestans,Water-soaked lesions on leaves and fruits; white sporulation under humid conditions. Often noticed in dense canopies and late season.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
306,Garlic,Early Blight,Alternaria solani,Concentric ring lesions on leaves; fruit spots. Often noticed in dense canopies and late season.,Introduce beneficial microbes; use cultural practices and timely pruning.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
307,Garlic,Bacterial Spot,Xanthomonas/ Pseudomonas,Water-soaked lesions with yellow halos on leaves and fruits. Symptoms worsen in humid conditions.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
308,Garlic,Powdery Mildew,Oidium/Erysiphe,White powder on leaves reducing vigor. Common after heavy rainfall or poor drainage.,Introduce beneficial microbes; use cultural practices and timely pruning.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
309,Garlic,Downy Mildew,Peronospora spp.,Yellow patches and downy growth on leaf undersides. Common after heavy rainfall or poor drainage.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Follow local agricultural extension chemical recommendations with PPE.
293,Ginger,Fusarium Wilt,Fusarium spp.,"Wilting, yellowing and vascular discoloration in roots/stems. Common after heavy rainfall or poor drainage.",Introduce beneficial microbes; use cultural practices and timely pruning.,Follow local agricultural extension chemical recommendations with PPE.
294,Ginger,Phytophthora Rot,Phytophthora spp.,Stem/root rots causing collapse. Often noticed in dense canopies and late season.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
295,Ginger,Leaf Spot,Alternaria/Cercospora,Brown/black spots leading to defoliation. Common after heavy rainfall or poor drainage.,Introduce beneficial microbes; use cultural practices and timely pruning.,Follow local agricultural extension chemical recommendations with PPE.
633,Grapes,Anthracnose,Colletotrichum spp.,Sunken dark lesions on fruits and stems; latent infections in fruit. Often noticed in dense canopies and late season.,Introduce beneficial microbes; use cultural practices and timely pruning.,Follow local agricultural extension chemical recommendations with PPE.
634,Grapes,Powdery Mildew,Podosphaera spp.,White powder on leaves and fruits; distortion of young growth. Often noticed in dense canopies and late season.,Introduce beneficial microbes; use cultural practices and timely pruning.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
635,Grapes,Wilt,Fusarium/Verticillium,"Wilting, yellowing and vascular browning in stems. Often noticed in dense canopies and late season.",Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Follow local agricultural extension chemical recommendations with PPE.
636,Grapes,Fruit Rot,Phytophthora/Alternaria,Soft rot of fruits often post-harvest or in humid conditions. Occurs frequently under stress or high nitrogen levels.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
129,Green Gram,Late Blight,Phytophthora infestans,Water-soaked lesions on leaves and fruits; white sporulation under humid conditions. Common after heavy rainfall or poor drainage.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Follow local agricultural extension chemical recommendations with PPE.
130,Green Gram,Early Blight,Alternaria solani,Concentric ring lesions on leaves; fruit spots. Occurs frequently under stress or high nitrogen levels.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Follow local agricultural extension chemical recommendations with PPE.
131,Green Gram,Bacterial Spot,Xanthomonas/ Pseudomonas,Water-soaked lesions with yellow halos on leaves and fruits. Occurs frequently under stress or high nitrogen levels.,Introduce beneficial microbes; use cultural practices and timely pruning.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
132,Green Gram,Powdery Mildew,Oidium/Erysiphe,White powder on leaves reducing vigor. Symptoms worsen in humid conditions.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
133,Green Gram,Downy Mildew,Peronospora spp.,Yellow patches and downy growth on leaf undersides. Common after heavy rainfall or poor drainage.,Introduce beneficial microbes; use cultural practices and timely pruning.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
171,Groundnut,Late Blight,Phytophthora infestans,Water-soaked lesions on leaves and fruits; white sporulation under humid conditions. Often noticed in dense canopies and late season.,Introduce beneficial microbes; use cultural practices and timely pruning.,Follow local agricultural extension chemical recommendations with PPE.
172,Groundnut,Early Blight,Alternaria solani,Concentric ring lesions on leaves; fruit spots. Symptoms worsen in humid conditions.,Introduce beneficial microbes; use cultural practices and timely pruning.,Follow local agricultural extension chemical recommendations with PPE.
173,Groundnut,Bacterial Spot,Xanthomonas/ Pseudomonas,Water-soaked lesions with yellow halos on leaves and fruits. Often noticed in dense canopies and late season.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
174,Groundnut,Powdery Mildew,Oidium/Erysiphe,White powder on leaves reducing vigor. Common after heavy rainfall or poor drainage.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
175,Groundnut,Downy Mildew,Peronospora spp.,Yellow patches and downy growth on leaf undersides. Symptoms worsen in humid conditions.,Introduce beneficial microbes; use cultural practices and timely pruning.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
576,Guava,Anthracnose,Colletotrichum spp.,Sunken dark lesions on fruits and stems; latent infections in fruit. Common after heavy rainfall or poor drainage.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
577,Guava,Powdery Mildew,Podosphaera spp.,White powder on leaves and fruits; distortion of young growth. Occurs frequently under stress or high nitrogen levels.,Introduce beneficial microbes; use cultural practices and timely pruning.,Follow local agricultural extension chemical recommendations with PPE.
578,Guava,Wilt,Fusarium/Verticillium,"Wilting, yellowing and vascular browning in stems. Common after heavy rainfall or poor drainage.",Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
579,Guava,Fruit Rot,Phytophthora/Alternaria,Soft rot of fruits often post-harvest or in humid conditions. Common after heavy rainfall or poor drainage.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
915,Hydroponic Lettuce,Late Blight,Phytophthora infestans,Water-soaked lesions on leaves and fruits; white sporulation under humid conditions. Common after heavy rainfall or poor drainage.,Introduce beneficial microbes; use cultural practices and timely pruning.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
916,Hydroponic Lettuce,Early Blight,Alternaria solani,Concentric ring lesions on leaves; fruit spots. Often noticed in dense canopies and late season.,Introduce beneficial microbes; use cultural practices and timely pruning.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
917,Hydroponic Lettuce,Bacterial Spot,Xanthomonas/ Pseudomonas,Water-soaked lesions with yellow halos on leaves and fruits. Occurs frequently under stress or high nitrogen levels.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Follow local agricultural extension chemical recommendations with PPE.
918,Hydroponic Lettuce,Powdery Mildew,Oidium/Erysiphe,White powder on leaves reducing vigor. Occurs frequently under stress or high nitrogen levels.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
919,Hydroponic Lettuce,Downy Mildew,Peronospora spp.,Yellow patches and downy growth on leaf undersides. Symptoms worsen in humid conditions.,Introduce beneficial microbes; use cultural practices and timely pruning.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
662,Jackfruit,Anthracnose,Colletotrichum spp.,Sunken dark lesions on fruits and stems; latent infections in fruit. Occurs frequently under stress or high nitrogen levels.,Introduce beneficial microbes; use cultural practices and timely pruning.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
663,Jackfruit,Powdery Mildew,Podosphaera spp.,White powder on leaves and fruits; distortion of young growth. Often noticed in dense canopies and late season.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
664,Jackfruit,Wilt,Fusarium/Verticillium,"Wilting, yellowing and vascular browning in stems. Often noticed in dense canopies and late season.",Introduce beneficial microbes; use cultural practices and timely pruning.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
665,Jackfruit,Fruit Rot,Phytophthora/Alternaria,Soft rot of fruits often post-harvest or in humid conditions. Often noticed in dense canopies and late season.,Introduce beneficial microbes; use cultural practices and timely pruning.,Follow local agricultural extension chemical recommendations with PPE.
954,Jowar,Downy Mildew,Peronosclerospora spp.,Chlorotic streaks and downy growth underneath; stunting and poor yield. Occurs frequently under stress or high nitrogen levels.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
955,Jowar,Turcicum Leaf Blight,Exserohilum turcicum,Elongated lesions; leaves may die back. Common after heavy rainfall or poor drainage.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Follow local agricultural extension chemical recommendations with PPE.
956,Jowar,Stalk Rot,Fusarium/Colletotrichum,Rotten stalks causing lodging and yield loss. Often noticed in dense canopies and late season.,Introduce beneficial microbes; use cultural practices and timely pruning.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
957,Jowar,Ear Rot,Fusarium/Aspergillus,"Moldy ears, mycotoxin risk for storage. Common after heavy rainfall or poor drainage.",Introduce beneficial microbes; use cultural practices and timely pruning.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
958,Jowar,Maize Mosaic,Potyvirus,"Mosaic symptoms, dwarfing and reduced kernels. Occurs frequently under stress or high nitrogen levels.",Introduce beneficial microbes; use cultural practices and timely pruning.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
489,Jute,Late Blight,Phytophthora infestans,Water-soaked lesions on leaves and fruits; white sporulation under humid conditions. Common after heavy rainfall or poor drainage.,Introduce beneficial microbes; use cultural practices and timely pruning.,Follow local agricultural extension chemical recommendations with PPE.
490,Jute,Early Blight,Alternaria solani,Concentric ring lesions on leaves; fruit spots. Symptoms worsen in humid conditions.,Introduce beneficial microbes; use cultural practices and timely pruning.,Follow local agricultural extension chemical recommendations with PPE.
491,Jute,Bacterial Spot,Xanthomonas/ Pseudomonas,Water-soaked lesions with yellow halos on leaves and fruits. Symptoms worsen in humid conditions.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
492,Jute,Powdery Mildew,Oidium/Erysiphe,White powder on leaves reducing vigor. Common after heavy rainfall or poor drainage.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
493,Jute,Downy Mildew,Peronospora spp.,Yellow patches and downy growth on leaf undersides. Symptoms worsen in humid conditions.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
975,Kharif Crops Mixed,Late Blight,Phytophthora infestans,Water-soaked lesions on leaves and fruits; white sporulation under humid conditions. Occurs frequently under stress or high nitrogen levels.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
976,Kharif Crops Mixed,Early Blight,Alternaria solani,Concentric ring lesions on leaves; fruit spots. Occurs frequently under stress or high nitrogen levels.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Follow local agricultural extension chemical recommendations with PPE.
977,Kharif Crops Mixed,Bacterial Spot,Xanthomonas/ Pseudomonas,Water-soaked lesions with yellow halos on leaves and fruits. Occurs frequently under stress or high nitrogen levels.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Follow local agricultural extension chemical recommendations with PPE.
978,Kharif Crops Mixed,Powdery Mildew,Oidium/Erysiphe,White powder on leaves reducing vigor. Symptoms worsen in humid conditions.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
979,Kharif Crops Mixed,Downy Mildew,Peronospora spp.,Yellow patches and downy growth on leaf undersides. Common after heavy rainfall or poor drainage.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Follow local agricultural extension chemical recommendations with PPE.
93,Kodo Millet,Downy Mildew,Peronosclerospora spp.,Chlorotic streaks and downy growth underneath; stunting and poor yield. Occurs frequently under stress or high nitrogen levels.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Follow local agricultural extension chemical recommendations with PPE.
94,Kodo Millet,Turcicum Leaf Blight,Exserohilum turcicum,Elongated lesions; leaves may die back. Often noticed in dense canopies and late season.,Introduce beneficial microbes; use cultural practices and timely pruning.,Follow local agricultural extension chemical recommendations with PPE.
95,Kodo Millet,Stalk Rot,Fusarium/Colletotrichum,Rotten stalks causing lodging and yield loss. Occurs frequently under stress or high nitrogen levels.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
96,Kodo Millet,Ear Rot,Fusarium/Aspergillus,"Moldy ears, mycotoxin risk for storage. Symptoms worsen in humid conditions.",Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
97,Kodo Millet,Maize Mosaic,Potyvirus,"Mosaic symptoms, dwarfing and reduced kernels. Common after heavy rainfall or poor drainage.",Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Follow local agricultural extension chemical recommendations with PPE.
604,Lemon,Anthracnose,Colletotrichum spp.,Sunken dark lesions on fruits and stems; latent infections in fruit. Occurs frequently under stress or high nitrogen levels.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
605,Lemon,Powdery Mildew,Podosphaera spp.,White powder on leaves and fruits; distortion of young growth. Common after heavy rainfall or poor drainage.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Follow local agricultural extension chemical recommendations with PPE.
606,Lemon,Wilt,Fusarium/Verticillium,"Wilting, yellowing and vascular browning in stems. Often noticed in dense canopies and late season.",Introduce beneficial microbes; use cultural practices and timely pruning.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
607,Lemon,Fruit Rot,Phytophthora/Alternaria,Soft rot of fruits often post-harvest or in humid conditions. Occurs frequently under stress or high nitrogen levels.,Introduce beneficial microbes; use cultural practices and timely pruning.,Follow local agricultural extension chemical recommendations with PPE.
149,Lentil,Late Blight,Phytophthora infestans,Water-soaked lesions on leaves and fruits; white sporulation under humid conditions. Symptoms worsen in humid conditions.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
150,Lentil,Early Blight,Alternaria solani,Concentric ring lesions on leaves; fruit spots. Common after heavy rainfall or poor drainage.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
